IdProcedimientos,CodProce,CodISS,CodSOAT,DESCRIP,TipoProc,ValorISS,ValorSOAT,ValorParticular,GrupoSOAT,QX,Clasificacion,Area,UVR,Institucional,Nivel,Cuenta,UVRN,ValorISS2000,OtrosServ,RN,DescripSoat,Sexo,Activo,Atributos,EdadInf,EdadSup,PerAtiende,TipoServ,Finalidad,MaxUn,AmbitoProce,FinalidadProce,PerAtiendeProce,ActoQuirurgico,HabilitadoHC,Hemoderivado,AplicaPyP,AplicaEnfermeria,Curaciones,TerapiaRespiratoria,TerapiaFisica,idAreaLaboratorio,CuentaColGaap,idPlantillaServicio
H0004,861203,,15109,RETIRO DE IMPLANTE SUBDERMICO POR INCISION (JADELLE),False,,,,,True,I,3110,,True,2,43121701,,,,False,RETIRO DE IMPLANTE SUBDERMICO POR INCISION (JADELLE),F,True,|Pos_Pr|Sub_Pr|,000,599,,,,,1,3,1,1,True,,False,False,False,False,False,,,
H0100,872070,213448,21601,PORTÁTILES SIN FLUOROSCOPIA E INTENSIFICADOR DE IMÁGENES ,False,,,,1.76,False,A,3150,,True,2,43124701,,,,False,PORTÁTILES SIN FLUOROSCOPIA E INTENSIFICADOR DE IMÁGENES ,A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0101,890602,890602,39130,ATENCION DIARIA INTRAHOSPITALARIA POR EL ESPECIALISTA TRATANTE,False,,,,,False,C,3020,,True,3,43122701,,,1,False,ATENCION DIARIA INTRAHOSPITALARIA POR EL ESPECIALISTA TRATANTE,A,True,|Pos_Pr|Sub_Pr|,000,599,1,1,10,,2,1,1,,True,,False,False,False,False,False,,,
H0102,740100,12110,12110,CESÁREA  (PAQUETE),False,,,,50.0,False,I,3110,,True,2,43123601,,,,True,CESÁREA  (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,409,454,1,1,10,,2,1,1,1,False,,False,False,False,False,False,,,
H0103,740100,12100,12110,CESAREA TRANSPERITONEAL MAS SALPINGECTOMIA (PAQUETE),False,,,,50.0,False,I,3110,,True,2,43123601,,,,True,CESAREA TRANSPERITONEAL MAS SALPINGECTOMIA (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,409,454,,,,,2,1,1,1,False,,False,False,False,False,False,,,
H0104,663100,11202,11242,SECCIÓN Y/O LIGADURA DE TROMPAS DE FALOPIO [POMEROY PAQUETE],False,,,,50.0,False,I,3110,,True,2,43123601,,,,False,SECCIÓN Y/O LIGADURA DE TROMPAS DE FALOPIO [POMEROY PAQUETE],F,True,|PAQ|Pos_Pr|Sub_Pr|,409,454,,,,,2,1,1,1,False,,False,False,False,False,False,,,
H0105,735300,12101,12101,ASISTENCIA DEL PARTO NORMAL CON EPISIORRAFIA Y/O PERINEORRAFIA (PAQUETE),False,,,,50.0,False,S,3120,,True,2,43123701,,,,True,ASISTENCIA DEL PARTO NORMAL CON EPISIORRAFIA Y/O PERINEORRAFIA (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,409,454,,,,,2,1,1,1,False,,False,False,False,False,False,,,
H0106,659300,12115,12113,RESECCION DE EMBARAZO ECTOPICO (PAQUETE),False,,,,50.0,False,I,3110,,True,2,43123601,,,,False,RESECCION DE EMBARAZO ECTOPICO (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,409,454,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0107,750101,12112,12111,LEGRADO UTERINO (OBSTÉTRICO); INCLUYE POR ABORTO ABORTO INCOMPLETO O ENDOMETRITIS PUERPERAL (PAQUETE),False,,,,50.0,False,I,3110,,True,2,43123601,,,,False,LEGRADO UTERINO (OBSTÉTRICO); INCLUYE POR ABORTO ABORTO INCOMPLETO O ENDOMETRITIS PUERPERAL (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,409,454,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0108,750105,12112,12111,LEGRADO UTERINO (OBSTÉTRICO); INCLUYE POR  ABORTO INCOMPLETO O ENDOMETRITIS PUERPERAL AMEU (PAQUETE),False,,,,50.0,False,I,3110,,True,2,43123601,,,,False,LEGRADO UTERINO (OBSTÉTRICO); INCLUYE POR  ABORTO INCOMPLETO O ENDOMETRITIS PUERPERAL AMEU (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,409,454,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0109,684000,11440,11470,HISTERECTOMÍA ABDOMINAL (TOTAL O SUBTOTAL) (PAQUETE),False,,,,50.0,False,I,3110,,True,2,43123601,,,,False,HISTERECTOMÍA ABDOMINAL (TOTAL O SUBTOTAL) (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,1,False,,False,False,False,False,False,,,
H0110,685100,11447,11473,HISTERECTOMÍA VAGINAL (PAQUETE),False,,,,70.0,False,I,3110,,True,2,43123601,,,,False,HISTERECTOMÍA VAGINAL (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,409,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0111,898201,898201,20201,ESTUDIO DE COLORACION BASICA EN ESPECIMEN DE RECONOCIMIENTO +,False,,,,,False,L,3160,,True,2,43124801,,,,False,ESTUDIO CON TINCIONES DE RUTINA,F,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0112,898104,898104,20112,ESTUDIO CON TINCIONES ESPECIALES E INMUNOFLUORESCENCIA,False,,,,,False,A,3160,,True,2,43124801,,,,False,ESTUDIO CON TINCIONES ESPECIALES E INMUNOFLUORESCENCIA,F,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0113,702200,18903,18903,COLPOSCOPIA + BIOPSIA DE CERVIX + ESTUDIO ANATOMOPATOLOGICO (PAQUETE),False,,,,50.0,False,A,3170,,True,2,43124801,,,,False,COLPOSCOPIA + BIOPSIA DE CERVIX + ESTUDIO ANATOMOPATOLOGICO (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,1,1,10,,1,1,1,1,False,,False,False,False,False,False,,,
H0114,712300,11621,11621,DRENAJE ABSCESO GLÁNDULA DE BARTHOLÍN Y MARSUPIALIZACIÓN (PAQUETE),False,,,,50.0,False,I,3110,,True,2,43123601,,,,False,DRENAJE ABSCESO GLÁNDULA DE BARTHOLÍN Y MARSUPIALIZACIÓN (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,500,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0115,705301,11542,11541,COLPORRAFIA ANTERIOR Y POSTERIOR (PAQUETE),False,,,,50.0,False,I,3110,,True,2,43123601,,,,False,COLPORRAFIA ANTERIOR Y POSTERIOR (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,409,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0116,S31303,390009,390009,AMBULANCIA TRANSLADO BASICO SIMPLE,False,,,,,False,A,3010,,True,2,43129401,,,,False,"AMBULANCIA TRANSLADO BASICO SIMPLE
",A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0117,600051,600051,600051,AMBULANCIA TRANSLADO BASICO REDONDO,False,,,,,False,A,3010,,True,2,43129401,,,,False,"AMBULANCIA TRANSLADO BASICO REDONDO
",A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0118,390012,390012,390012,AMBULANCIA TRANSLADO MEDICALIZADO SIMPLE,False,,,,,False,A,3010,,True,2,43129401,,,,False,"AMBULANCIA TRANSLADO MEDICALIZADO SIMPLE
",A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0119,390013,390013,390013,AMBULANCIA TRANSLADO MEDICALIZADO REDONDO,False,,,,,False,A,3010,,True,2,43129401,,,,False,"AMBULANCIA TRANSLADO MEDICALIZADO REDONDO
",A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0120,390011,390011,390011,TRANSLADO MEDICALIZADO REDONDO MAYOR A 2 HORAS ,False,,,,,False,A,3010,,True,2,43129401,,,,False,"TRANSLADO MEDICALIZADO REDONDO MAYOR A 2 HORAS 
",A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0121,600053,600053,600053,TRANSLADO AMBULANCIA POR KILOMETRO ,False,,,,,False,A,3010,,True,2,43129401,,,,False," TRANSLADO AMBULANCIA POR KILOMETRO 
",A,True,|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,True,,False,False,False,False,False,,,
H0122,576000,576000,652102,CISTECTOM­A DE OVARIO POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,CISTECTOM­A DE OVARIO POR LAPAROSCOPIA (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,1,1,10,,2,1,1,1,False,,False,False,False,False,False,,,
H0123,652104,576000 ,652102,CISTECTOMIA DE OVARIO MAS MIOMECTOMIA MAS OOFORECTOMIA UNILATERAL POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,CISTECTOMIA DE OVARIO MAS MIOMECTOMIA MAS OOFORECTOMIA UNILATERAL POR LAPAROSCOPIA (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0124,652302,652302,652302,RESECCIÓN DE TUMOR DE OVARIO POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,RESECCIÓN DE TUMOR DE OVARIO POR LAPAROSCOPIA (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0125,652302,652302,652302,RESECCIÓN DE TUMOR DE OVARIO POR LAPAROSCOPIA GINECOLOGIA RESECCION DE QUISTE BILATERALES DE OVARIO POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"RESECCIÓN DE TUMOR DE OVARIO POR LAPAROSCOPIA GINECOLOGIA RESECCION DE QUISTE BILATERALES DE OVARIO POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0126 ,652302,652302,652302,RESECCIÓN DE TUMOR DE OVARIO POR LAPAROSCOPIA GINECOLOGIA FULGURACION DE FOCOS DE ENDOMETRIOSIS POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,RESECCIÓN DE TUMOR DE OVARIO POR LAPAROSCOPIA GINECOLOGIA FULGURACION DE FOCOS DE ENDOMETRIOSIS POR LAPAROSCOPIA (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0127,652402,652402,652402,PUNCIÓN Y DRENAJE DE LESION DE OVARIO POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"PUNCIÓN Y DRENAJE DE LESION DE OVARIO POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0128,652802,652802,652802,RESECCIÓN DE QUISTE PARA-OVÁRICO POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"RESECCIÓN DE QUISTE PARA-OVÁRICO POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,1,False,,False,False,False,False,False,,,
H0129,545100,545100,545100,LISIS DE ADHERENCIAS PERITONEALES POR LAPAROSCOPIA SOD (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"LISIS DE ADHERENCIAS PERITONEALES POR LAPAROSCOPIA SOD (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0130,549202,549202 ,549202 ,EXTRACCIÓN DE CUERPO EXTRAÑO INTRAPERITONEAL (O DIU PERDIDO) POR LAPAROSCOPIA (PAQUETE) ,False,,,,,False,I,3110,,True,2,43123603,,,,False,"EXTRACCIÓN DE CUERPO EXTRAÑO INTRAPERITONEAL (O DIU PERDIDO) POR LAPAROSCOPIA (PAQUETE) 
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0131,595103,595103,595103,URETROCISTOPEXIA POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"URETROCISTOPEXIA POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0132,651202,651202,651202,BIOPSIA EN OVARIO POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"BIOPSIA EN OVARIO POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0133,682102,682102,682102,LIBERACION DE ADHERENCIAS INTRALUMINALES DE UTERO POR HISTEROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"LIBERACION DE ADHERENCIAS INTRALUMINALES DE UTERO POR HISTEROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0134,682202,682202,682202,INCISION O ESCISION DE TABIQUE CONGENITO UTERINO POR HISTEROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"INCISION O ESCISION DE TABIQUE CONGENITO UTERINO POR HISTEROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0135,682510,682510,682510,ABLACION ENDOMETRIAL O ENDOMETRECTOMIA POR HISTEROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"ABLACION ENDOMETRIAL O ENDOMETRECTOMIA POR HISTEROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0136,652902,652902,652902,"LIBERACIÓN O LISIS DE ADHERENCIAS (LEVES, MODERADAS O SEVERA)POR LAPAROSCOPIA (PAQUETE)   ",False,,,,,False,I,3110,,True,2,43123603,,,,False,"LIBERACIÓN O LISIS DE ADHERENCIAS (LEVES, MODERADAS O SEVERA POR LAPAROSCOPIA (PAQUETE)   
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,1,2,10,,2,1,1,,False,,False,False,False,False,False,,,
H0137,653102,653102,653102,OOFORECTOMÍA UNILATERAL POR LAPAROSCOPIA (PAQUETE)  ,False,,,,,False,I,3110,,True,2,43123603,,,,False,"OOFORECTOMÍA UNILATERAL POR LAPAROSCOPIA (PAQUETE)  
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,2,3,09,,2,1,1,,False,False,False,,,False,False,,,
H0138,653102,653102,653102,OOFORECTOMÍA BILATERAL POR LAPAROSCOPIA (PAQUETE)  ,False,,,,,False,I,3110,,True,2,43123603,,,,False,"OOFORECTOMÍA BILATERAL POR LAPAROSCOPIA (PAQUETE)  
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0139,657802,657802,657802,OOFOROPEXIA UNILATERAL POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123603,,,,False,"OOFOROPEXIA UNILATERAL POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0140,657804,657804,657804,OOFOROPEXIA BILATERAL POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"OOFOROPEXIA BILATERAL POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0141,660102,660102,660102,SALPINGOSTOMÍA Y DRENAJE TROMPA DE FALOPIO POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"SALPINGOSTOMÍA Y DRENAJE TROMPA DE FALOPIO POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0142,664002,664002,664002,SALPINGECTOMÍA UNILATERAL TOTAL POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"SALPINGECTOMÍA UNILATERAL TOTAL POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0143,666220,666220,666220,RESECCION DE LESION EN MESOSALPINX POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"RESECCION DE LESION EN MESOSALPINX POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0144,669120,669120,669120,SALPINGO -OOFORECTOMIA UNILATERAL POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"SALPINGO -OOFORECTOMIA UNILATERAL POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0145,682403,682403,682403,MIOMECTOMIA UTERINA (UNICA O MULTIPLE) POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,"MIOMECTOMIA UTERINA (UNICA O MULTIPLE) POR LAPAROSCOPIA (PAQUETE)
",F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,2,1,1,,False,,False,False,False,False,False,,,
H0146,684020,684020,684020,HISTERECTOMÍA TOTAL POR LAPAROSCOPIA (PAQUETE),False,,,,,False,I,3110,,True,2,43123601,,,,False,HISTERECTOMÍA TOTAL POR LAPAROSCOPIA (PAQUETE),F,True,|PAQ|Pos_Pr|Sub_Pr|,000,599,,,,,1,2,1,1,True,,False,False,False,False,False,,,
